,name,age,job,incomeUSD,creditScore,ccNumber,married,hasChildren,height,weight,eyeColor,email,gender,hasDegree,bloodType,username,politicalLeaning,religion,doB,gpa,address.streetAddress,address.city,address.state,address.country,address.zip,address.geonameId,address.phoneNumber,address.ipAddress,address.countryCode,height_inches,weight_pounds,bmi,health,healthy_bmi_range,income level,region,state_population,state_per_capita_income
10,Keneth Cremin,44,Operations Manager,85570,750,6547-6219-5795-1239-6338,False,False,170.0,64.4,BROWN,cremin.cremin@gmail.com,Male,False,B+,keneth41,0.04,Christian,Wed Feb 13 07:50:11 UTC 1980,3.1,7860 Ermelinda Crossroad,Bonita Springs,Florida,United States,15141,4895066,+1 60145711129,130.206.206.116,US,66.92913385826772,142.002,22.28,Normal,18.5 - 25,Middle income,South,21538187,"63,597"
11,Morton Shanahan,32,Garbage Collector,32393,561,6771-8901-9915-3360,True,True,180.0,80.6,GRAY,morton.morton@hotmail.com,Male,False,B+,morton67,0.24,Christian,Mon May 04 04:15:20 UTC 1992,4.0,2592 Russel Plaza,Hyattsville,Florida,United States,10279-5186,5120656,+1 91435255431,236.231.49.96,US,70.86614173228347,177.72299999999998,24.88,Normal,18.5 - 25,Low income,South,21538187,"63,597"
12,Senaida Lebsack,34,Chef,59783,727,6557-6984-6242-2333,True,True,165.0,60.4,GRAY,lebsack@yahoo.com,Male,True,A+,senaida36,-1.0,Islam,Sun Oct 14 16:07:21 UTC 1990,2.2,215 Ezra Radial,Spring Valley,Utah,United States,26291,5324802,+1 70666666408,220.226.40.166,US,64.96062992125984,133.182,22.19,Normal,18.5 - 25,Middle income,West,3271616,"57,925"
13,Dedra Champlin,42,Bartender,32210,390,6759-1069-9922-5233,False,True,170.0,60.3,BLUE,dedrachamplin@gmail.com,Male,False,B+,dedra61,-0.21,Hinduism,Thu Mar 18 03:24:36 UTC 1982,0.0,5771 Victorina Tunnel,Rochester,Rhode Island,United States,05179-0702,4478334,+1 39090727877,230.144.41.146,US,66.92913385826772,132.9615,20.87,Normal,18.5 - 25,Low income,Northeast,1097379,"65,377"
14,Vincent Lang,28,Rehabilitation Counselor,73545,632,3710-433213-19445,True,True,166.0,50.0,BROWN,lang.vincent@outlook.com,Male,False,A+,vincent90,-0.52,Hinduism,Fri Jan 19 08:29:44 UTC 1996,2.9,892 Clyde Summit,Cohoes,Georgia,United States,77464,5776715,+1 92862986415,71.10.160.114,US,65.35433070866142,110.25,18.14,Mild Thinness,18.5 - 25,Middle income,South,10711908,"57,129"
15,Dion Schumm,72,Retired,0,757,6767-7940-2797-8764,True,True,160.0,74.9,BLUE,dion.dion@outlook.com,Female,True,AB-,dion11,0.57,Hinduism,Wed Sep 03 21:26:46 UTC 1952,2.1,7473 Schmidt Burg,Bayshore Gardens,Tennessee,United States,14873-2581,5814916,+1 05415720011,234.91.9.214,US,62.99212598425197,165.1545,29.26,Overweight,18.5 - 25,Low income,South,6910840,"58,279"
16,Branden Keeling,27,Construction Worker,54737,551,6759-0478-2393-1697,False,False,161.0,65.8,BROWN,branden_keeling@gmail.com,Female,False,B+,branden39,-0.05,Christian,Mon Dec 02 11:56:03 UTC 1996,3.8,47012 Rea Ville,Fernley,Missouri,United States,94380,5350159,+1 55703444767,104.2.188.132,US,63.38582677165354,145.089,25.38,Overweight,18.5 - 25,Middle income,Midwest,6154913,"56,551"
17,Junior Donnelly,26,Landscaper,38223,628,6771-8980-8198-0527,True,False,175.0,60.5,BROWN,junior_donnelly@gmail.com,Other,True,A+,junior83,0.09,Christian,Thu Apr 16 00:37:46 UTC 1998,0.0,3181 Verlene Spur,Fruit Cove,Iowa,United States,72656,5736218,+1 44031389879,156.189.29.29,US,68.89763779527559,133.4025,19.76,Normal,18.5 - 25,Low income,Midwest,3190369,"58,905"
18,Karol Kirlin,42,Marine Biologist,69875,555,6767-7225-7659-6329-87,True,False,166.0,74.3,GREEN,karolkirlin@gmail.com,Female,False,A+,karol94,0.03,Christian,Tue Jul 06 16:13:57 UTC 1982,2.9,8338 Mosciski Island,Glendale,Wisconsin,United States,05565-2372,4999837,+1 42303968843,10.179.17.210,US,65.35433070866142,163.8315,26.96,Overweight,18.5 - 25,Middle income,Midwest,5893718,"61,210"
19,Marceline Effertz,27,Urban Planner,83366,361,6589-8564-6815-1395,False,False,160.0,60.9,BROWN,marceline.marceline@yahoo.com,Female,True,A-,marceline71,-0.21,Islam,Tue Jan 20 05:03:39 UTC 1998,2.9,55181 Flavia Harbors,Mishawaka,Alabama,United States,54996-3324,3601782,+504 57592952,154.129.151.236,HN,62.99212598425197,134.2845,23.79,Normal,18.5 - 25,Middle income,South,5024279,"50,637"
20,Carter McClure,22,Cartographer,71975,580,6759-0594-8929-2319-70,True,True,161.0,55.8,BLUE,mcclure.carter@yahoo.com,Female,False,A+,carter82,0.11,Christian,Sun May 19 08:20:45 UTC 2002,2.3,189 Jeannie Path,Colton,Illinois,United States,25084-8632,3608248,+504 41928123,193.226.190.154,HN,63.38582677165354,123.039,21.53,Normal,18.5 - 25,Middle income,Midwest,12812508,"68,822"
21,Lilliam Mertz,74,Retired,0,457,6759-6596-0991-1018-55,True,False,161.0,60.0,GREEN,mertz@gmail.com,Male,False,A+,lilliam87,0.12,Christian,Tue Dec 27 12:36:48 UTC 1949,2.9,45605 Ryan Extensions,Allendale,Massachusetts,United States,99211,5334928,+1 47539526200,182.174.19.146,US,63.38582677165354,132.3,23.15,Normal,18.5 - 25,Low income,Northeast,7029917,"84,945"
22,Ike Schuppe,26,Receptionist,33472,582,6011-6237-2271-3752-2962,False,True,156.0,60.1,GRAY,ike.ike@yahoo.com,Male,False,A+,ike95,-0.45,Hinduism,Thu Sep 04 18:56:13 UTC 1997,3.1,545 Zulauf Island,Dublin,Texas,United States,04155-7954,4447161,+1 14685703312,243.233.41.183,US,61.41732283464567,132.5205,24.7,Normal,18.5 - 25,Low income,South,29145505,"61,985"
23,Elisha Hoeger,49,Food Service Worker,29440,748,6771482282861495,True,False,156.0,59.8,GRAY,elishahoeger@yahoo.com,Female,False,A+,elisha25,-0.96,Christian,Mon Nov 24 11:42:28 UTC 1975,2.6,54615 Val Pike,Owosso,Rhode Island,United States,94568-7600,4542975,+1 73653726498,91.233.155.116,US,61.41732283464567,131.859,24.57,Normal,18.5 - 25,Low income,Northeast,1097379,"65,377"
24,Lindsy Aufderhar,29,Social Worker,73807,593,6767-1459-0391-2303-92,True,True,156.0,70.6,GRAY,lindsy@gmail.com,Female,True,AB-,lindsy78,0.41,Islam,Sat Jun 24 15:21:14 UTC 1995,2.1,3610 Gabriel Forest,Bridgeton,Massachusetts,United States,43171-0756,4639848,+1 12472843781,148.22.28.109,US,61.41732283464567,155.673,29.01,Overweight,18.5 - 25,Middle income,Northeast,7029917,"84,945"
25,Brooks Rath,30,Sales Associate,36992,597,5019-4565-0236-5960,False,False,166.0,64.6,BROWN,brooks@gmail.com,Male,True,O+,brooks42,-0.23,Christian,Sun Oct 24 07:51:30 UTC 1993,2.8,158 Erdman Freeway,Brentwood,California,United States,62977,4853828,+1 65256228305,244.242.208.135,US,65.35433070866142,142.44299999999998,23.44,Normal,18.5 - 25,Low income,West,39538223,"77,339"
26,Cody Lebsack,57,Chef,55551,758,6767-4260-0884-6393,False,True,160.0,74.3,BROWN,cody_lebsack@yahoo.com,Male,False,B+,cody16,-0.45,Christian,Tue May 16 23:38:39 UTC 1967,3.0,747 Detra Stravenue,Randolph,Oregon,United States,58746-1722,5043473,+1 39520868480,94.60.30.225,US,62.99212598425197,163.8315,29.02,Overweight,18.5 - 25,Middle income,West,4237256,"62,767"
27,Clair Purdy,32,Accountant,79176,423,6759-7478-5830-6690-96,False,False,155.0,59.5,GRAY,clair_purdy@yahoo.com,Female,False,A+,clair46,-0.58,Hinduism,Thu Jun 11 04:45:24 UTC 1992,3.6,9328 Hoppe Parkways,Pinellas Park,Massachusetts,United States,10310,5280854,+1 05941750141,113.231.243.169,US,61.023622047244096,131.1975,24.77,Normal,18.5 - 25,Middle income,Northeast,7029917,"84,945"
28,Kristen Mayer,37,Telemarketer,32898,829,6759-2905-1627-1902,True,True,165.0,74.2,BROWN,kristen.mayer@yahoo.com,Male,True,A-,kristen79,-0.16,Buddhism,Thu Sep 17 21:15:01 UTC 1987,1.8,014 Landon Junctions,Maryville,New York,United States,58526-2282,5265499,+1 16370370332,28.97.62.24,US,64.96062992125984,163.61100000000002,27.25,Overweight,18.5 - 25,Low income,Northeast,20201249,"78,089"
29,Damion Christiansen,19,Office Manager,66796,544,6767-2361-0198-4976-514,True,False,161.0,59.4,BROWN,christiansen@gmail.com,Female,False,A+,damion76,-0.09,Christian,Wed Apr 06 10:44:06 UTC 2005,4.0,3465 Medhurst Meadow,Southaven,California,United States,78426-1146,5262630,+1 29907912157,208.94.98.209,US,63.38582677165354,130.977,22.92,Healthy weight,5 - 85,Middle income,West,39538223,"77,339"
30,Gavin Veum,33,Automotive Engineer,100682,613,3434-800030-86188,True,True,166.0,74.6,GRAY,gavinveum@outlook.com,Male,False,AB+,gavin48,-0.03,Islam,Thu Oct 17 02:10:34 UTC 1991,2.9,781 Bertram Springs,Westport,Florida,United States,59886,4363843,+1 19166093125,4.183.223.22,US,65.35433070866142,164.493,27.07,Overweight,18.5 - 25,Middle income,South,21538187,"63,597"
31,Lewis Powlowski,42,Online Advertising Manager,68913,799,6007-2217-5535-1683,True,True,171.0,69.8,GRAY,lewispowlowski@gmail.com,Male,False,A+,lewis86,-0.71,Christianity,Thu Dec 31 17:19:16 UTC 1981,2.8,706 Dicki Divide,Punta Gorda,Washington,United States,83316-7746,4358864,+1 22069927327,7.48.114.98,US,67.32283464566929,153.909,23.87,Normal,18.5 - 25,Middle income,West,7705281,"75,698"
32,Magnolia Gislason,86,Retired,0,428,4864317795701,True,False,171.0,54.6,BLUE,magnolia_gislason@yahoo.com,Male,True,B-,magnolia83,-1.0,Christian,Thu Nov 11 04:55:04 UTC 1937,1.9,38238 Heller Port,Copiague,Washington,United States,57972-9850,5334928,+1 93398026752,82.46.177.28,US,67.32283464566929,120.393,,,,Low income,West,7705281,"75,698"
33,August Okuneva,38,Interior Designer,81835,487,5019-0132-8720-3765,False,False,161.0,60.2,GREEN,okuneva@yahoo.com,Female,True,A-,august30,-0.47,Christianity,Tue Oct 21 15:24:40 UTC 1986,3.9,010 Sean Village,Salina,Alaska,United States,66797,4917358,+1 21749566470,17.209.84.149,US,63.38582677165354,132.741,23.22,Normal,18.5 - 25,Middle income,West,733391,"68,919"
34,Bernardina Balistreri,50,Geneticist,103371,359,6759-0998-6743-6714-15,False,True,155.0,55.1,GREEN,bernardinabalistreri@gmail.com,Female,False,A-,bernardina76,0.07,Christian,Tue May 28 23:55:56 UTC 1974,3.3,1507 Elfreda Coves,Navarre,Louisiana,United States,40145,1822610,+855 600501989,218.26.235.23,KH,61.023622047244096,121.4955,22.93,Normal,18.5 - 25,Middle income,South,4657757,"54,622"
35,Tesha Simonis,30,Medical Assistant,37087,631,6759-6053-3655-7177-64,True,False,150.0,55.2,AMBER,teshasimonis@yahoo.com,Male,True,B+,tesha61,1.0,Hinduism,Fri Jan 21 16:54:01 UTC 1994,0.0,6918 Dalila Green,Palatine,Arizona,United States,78947,4375087,+1 80059361177,5.67.178.186,US,59.05511811023622,121.71600000000001,24.53,Normal,18.5 - 25,Low income,West,7151502,"56,667"
36,Laurice Corkery,22,Microbiologist,78604,560,4579556375904,False,False,166.0,70.0,BROWN,laurice_corkery@yahoo.com,Male,False,A+,laurice30,0.84,Islam,Tue Mar 11 18:07:31 UTC 2003,3.2,07218 Klein Lakes,Arnold,Washington,United States,02201,1636670,+670 00562690,169.219.90.224,TL,65.35433070866142,154.35,25.4,Overweight,18.5 - 25,Middle income,West,7705281,"75,698"
37,Louann Blanda,38,Dance Teacher,66675,711,6771787713103659,True,True,155.0,59.5,BROWN,blanda@gmail.com,Female,True,AB+,louann12,0.4,Islam,Fri Sep 20 04:15:43 UTC 1985,2.6,4490 Howe Plains,West Des Moines,California,United States,36839,5783695,+1 50841386077,61.38.126.62,US,61.023622047244096,131.1975,24.77,Normal,18.5 - 25,Middle income,West,39538223,"77,339"
38,Yang Collier,47,Retired,11356,453,3680-993047-5241,True,True,166.0,75.1,BROWN,yang_collier@hotmail.com,Male,False,B+,yang97,-0.33,Christian,Sun May 02 19:56:03 UTC 1976,1.7,505 Smitham Roads,Elkridge,Ohio,United States,97103,5368361,+1 02886396856,224.230.147.249,US,65.35433070866142,165.5955,27.25,Overweight,18.5 - 25,Low income,Midwest,11799448,"57,880"
39,Genevive Hahn,27,Police Officer,67567,498,6011-4266-2697-0298,True,True,155.0,64.4,GRAY,genevivehahn@gmail.com,Male,True,B+,genevive97,0.08,Christian,Wed May 14 18:50:45 UTC 1997,1.6,7529 Russel Falls,Holt,South Carolina,United States,72755-3742,4158928,+1 98791169521,68.97.82.106,US,61.023622047244096,142.002,26.81,Overweight,18.5 - 25,Middle income,South,5118425,"53,320"
40,Charles Trantow,54,Delivery Driver,42027,520,6771-8948-0166-9623,True,True,160.0,59.8,HAZEL,charlestrantow@yahoo.com,Female,True,A-,charles51,-0.14,Hinduism,Sun Nov 01 12:23:47 UTC 1970,4.0,727 Gleason Club,East Concord,California,United States,83539,5743731,+1 70706012551,34.66.100.137,US,62.99212598425197,131.859,23.36,Normal,18.5 - 25,Low income,West,39538223,"77,339"
41,Gavin Schumm,43,Retail Store Manager,52633,576,3528-9427-0580-3534,False,False,176.0,69.5,GRAY,gavinschumm@yahoo.com,Male,False,A+,gavin63,-0.12,Christian,Wed Feb 11 04:52:14 UTC 1981,4.0,8210 Jefferey Camp,South Hill,New Jersey,United States,02399,255524,+30 7140579323,176.215.140.14,GR,69.29133858267717,153.2475,22.44,Normal,18.5 - 25,Middle income,Northeast,9288994,"78,700"
42,Darrin Blick,27,Aircraft Mechanic,73300,371,6011-6248-6852-0684-1406,True,True,155.0,69.8,BROWN,blick.darrin@yahoo.com,Male,True,A+,darrin26,-0.33,Christianity,Fri May 16 10:57:28 UTC 1997,2.3,10579 Watsica Fall,Cranford,Idaho,United States,14307-8803,4364946,+1 02095384827,26.147.137.82,US,61.023622047244096,153.909,29.05,Overweight,18.5 - 25,Middle income,West,1839106,"54,537"
43,Darren Hickle,20,Nurse,71166,584,6771-8920-2802-9308,True,True,161.0,64.1,GREEN,hickle.darren@yahoo.com,Male,False,A+,darren48,-1.0,Christian,Mon Mar 15 23:01:51 UTC 2004,2.3,2234 Sarina Valleys,Palm Desert,Michigan,United States,54917-9442,4889426,+1 92606957147,32.5.194.114,US,63.38582677165354,141.3405,24.73,Normal,18.5 - 25,Middle income,Midwest,10077331,"56,813"
44,Ta Hermiston,36,Statistician,78219,744,6759-1835-1804-6299-44,True,True,161.0,54.2,BROWN,tahermiston@outlook.com,Female,False,A+,ta81,0.65,Christian,Mon Feb 29 22:40:21 UTC 1988,3.1,24102 Clinton Harbor,Nashua,Maryland,United States,02539,5811456,+1 42580019130,169.201.82.212,US,63.38582677165354,119.51100000000001,20.91,Normal,18.5 - 25,Middle income,South,6177224,"70,730"
45,Robyn Crist,18,Construction Worker,50399,584,6771-8927-8423-9729,False,False,155.0,65.2,BLUE,robyncrist@hotmail.com,Female,False,A+,robyn46,-0.48,Hinduism,Fri Jul 15 11:00:03 UTC 2005,3.5,86914 Aurelio Plains,South Euclid,Nevada,United States,03091-1947,4146723,+1 84996139142,203.227.72.116,US,61.023622047244096,143.76600000000002,27.14,Healthy weight,5 - 85,Low income,West,3104614,"61,282"
46,Son Boyer,37,Aerospace Engineer,100187,563,6304612580990002,True,True,170.0,49.7,BROWN,son.son@hotmail.com,Male,False,B-,son29,-0.65,Islam,Fri Apr 24 17:24:37 UTC 1987,2.1,8115 Del Roads,Kendale Lakes,Washington,United States,58191-7403,460413,+371 97152306,61.80.250.194,LV,66.92913385826772,109.58850000000001,17.2,Mild Thinness,18.5 - 25,Middle income,West,7705281,"75,698"
47,Michale Grady,56,Landscape Designer,72420,602,3681-846814-5498,True,False,156.0,55.8,BLUE,michalegrady@yahoo.com,Female,False,A-,michale3,0.23,Hinduism,Thu Aug 03 04:21:38 UTC 1967,3.4,5012 Joey Light,Findlay,California,United States,37697-3265,5294937,+1 40971272615,0.236.5.213,US,61.41732283464567,123.039,22.93,Normal,18.5 - 25,Middle income,West,39538223,"77,339"
48,Iona Bosco,36,Transportation Manager,69873,369,6759-0556-8543-5672-099,True,True,155.0,45.0,GRAY,iona_bosco@gmail.com,Female,False,A-,iona53,-0.41,Christian,Fri Feb 12 11:58:18 UTC 1988,1.7,4273 Lemke Ridges,Forrest City,Pennsylvania,United States,50236,5015618,+1 36733386679,50.80.229.134,US,61.023622047244096,99.22500000000001,18.73,Normal,18.5 - 25,Middle income,Northeast,13002700,"65,167"
49,Dalton Upton,29,Medical Technologist,60660,597,3712-193693-92904,True,True,165.0,64.4,GRAY,daltonupton@gmail.com,Female,False,A-,dalton69,-0.78,Christian,Tue Jan 10 14:22:02 UTC 1995,3.4,226 Cathrine Mount,Medford,Michigan,United States,80025-5738,1860437,+81 4715121176,224.49.87.176,JP,64.96062992125984,142.002,23.65,Normal,18.5 - 25,Middle income,Midwest,10077331,"56,813"
50,Jude Bernier,56,Unemployed,13947,640,6759-2912-9511-2364-85,False,True,151.0,70.0,GREEN,jude.bernier@gmail.com,Male,True,A-,jude10,-0.49,Islam,Wed Feb 14 11:54:58 UTC 1968,1.8,4066 Littel Underpass,Valley Station,Washington,United States,18510,2392505,+229 40075168,65.254.89.135,BJ,59.44881889763779,154.35,30.7,Obese Class I,18.5 - 25,Low income,West,7705281,"75,698"
51,Phillip Goldner,76,Retired,0,620,4722-8639-7078-9996,False,True,145.0,59.5,BROWN,phillipgoldner@yahoo.com,Female,False,AB-,phillip80,0.89,Islam,Sat May 08 07:03:22 UTC 1948,1.8,98942 Vina Spring,Perrysburg,New Jersey,United States,16600,8347326,+1 96501141754,72.111.18.205,US,57.08661417322835,131.1975,28.3,Overweight,18.5 - 25,Low income,Northeast,9288994,"78,700"
52,Lezlie Kautzer,31,Tax Manager,92886,755,6011-6281-4417-1382-8322,False,False,166.0,55.7,GRAY,lezliekautzer@yahoo.com,Female,False,B+,lezlie78,-0.43,Hinduism,Fri Mar 05 13:03:05 UTC 1993,2.8,9392 Miles Brooks,Metairie Terrace,Illinois,United States,36578-2417,5203127,+1 82658350068,27.122.139.86,US,65.35433070866142,122.81850000000001,20.21,Normal,18.5 - 25,Middle income,Midwest,12812508,"68,822"
53,Doretha Hagenes,34,Graphic Designer,66312,475,5019-1278-8210-7559,False,False,156.0,64.3,GRAY,doretha.doretha@gmail.com,Male,True,B+,doretha64,0.36,Christian,Sun Jul 22 22:10:50 UTC 1990,3.5,9257 Spencer Extension,Johns Creek,Illinois,United States,99957,5380626,+1 25238501981,164.139.166.88,US,61.41732283464567,141.7815,26.42,Overweight,18.5 - 25,Middle income,Midwest,12812508,"68,822"
54,Verdie Heaney,23,Chemical Engineer,95230,639,6304202746038704,False,False,166.0,64.8,BROWN,verdie@gmail.com,Male,False,B-,verdie45,-0.63,Christianity,Fri May 04 10:45:42 UTC 2001,2.0,8702 Schmidt Ridge,Hopatcong,New Jersey,United States,62433-8745,4619943,+1 11766661655,122.117.32.184,US,65.35433070866142,142.884,23.52,Normal,18.5 - 25,Middle income,Northeast,9288994,"78,700"
55,Jake Breitenberg,32,Robotics Engineer,32590,463,3401-363247-59084,False,False,166.0,59.7,GRAY,jakebreitenberg@gmail.com,Female,False,A-,jake62,-0.35,Buddhism,Sat Mar 14 20:08:23 UTC 1992,2.3,55406 Reilly Gateway,East Ridge,California,United States,23741-0974,4588718,+1 59520531106,223.249.50.50,US,65.35433070866142,131.63850000000002,21.66,Normal,18.5 - 25,Low income,West,39538223,"77,339"
56,Stephaine Renner,31,Office Manager,65099,548,3489-109211-33527,False,False,155.0,64.4,GREEN,stephainerenner@gmail.com,Male,False,AB+,stephaine70,-0.2,Buddhism,Thu Aug 26 13:05:24 UTC 1993,3.1,26130 O'Connell Ferry,Indianapolis,Kansas,United States,92503-7858,4356165,+1 78007019646,154.105.250.31,US,61.023622047244096,142.002,26.81,Overweight,18.5 - 25,Middle income,Midwest,2937880,"60,152"
57,Wanda Hegmann,18,Fitness Trainer,45353,548,6007-2281-4675-9045,False,False,170.0,55.1,BLUE,wanda_hegmann@outlook.com,Male,True,A+,wanda58,0.65,Islam,Sun Jul 09 16:32:22 UTC 2006,2.3,05413 Deckow Freeway,North Royalton,Illinois,United States,83515-1958,4153759,+1 98484144167,139.20.174.202,US,66.92913385826772,121.4955,19.07,Healthy weight,5 - 85,Low income,Midwest,12812508,"68,822"
58,Dagny Romaguera,50,Workforce Management Specialist,70363,409,6771-8938-7461-1512,True,False,160.0,59.7,BROWN,dagnyromaguera@yahoo.com,Female,True,B-,dagny69,-0.74,Christianity,Thu Dec 06 01:53:07 UTC 1973,1.7,612 Napoleon Common,Sun City,Florida,United States,38766-5069,5736218,+1 95109174215,245.111.4.124,US,62.99212598425197,131.63850000000002,23.32,Normal,18.5 - 25,Middle income,South,21538187,"63,597"
59,Elden Robel,54,Firefighter,75053,479,6011-6240-3769-1449-7396,False,False,166.0,70.8,BLUE,robel@gmail.com,Male,True,A-,elden56,0.69,Islam,Sun May 24 20:27:12 UTC 1970,3.4,46815 Orville Trail,Beavercreek,Indiana,United States,04816,4080555,+1 30480734330,161.246.85.209,US,65.35433070866142,156.114,25.69,Overweight,18.5 - 25,Middle income,Midwest,6785528,"57,930"
60,Britt Nitzsche,20,Neuroscientist,109409,792,6767-8322-8142-3901,True,True,170.0,60.2,BROWN,britt@gmail.com,Female,True,B-,britt98,0.48,Christianity,Fri Oct 01 14:43:19 UTC 2004,3.9,9714 Camilla River,Racine,Minnesota,United States,42952-2742,4920423,+1 26876090958,206.121.177.214,US,66.92913385826772,132.741,20.83,Normal,18.5 - 25,Middle income,Midwest,5706494,"68,010"
61,Angelo Schultz,35,Nanotechnologist,110001,492,3682-892775-6074,False,False,166.0,55.0,GRAY,angelo@gmail.com,Male,False,A+,angelo50,-0.41,Buddhism,Thu Oct 20 18:08:14 UTC 1988,3.6,62994 Moen Views,Millbrae,California,United States,66410,4456703,+1 01449392345,223.110.44.48,US,65.35433070866142,121.275,19.96,Normal,18.5 - 25,Middle income,West,39538223,"77,339"
62,Tammara Wyman,38,Social Media Advertising Manager,63546,478,6759-7732-7322-7124-768,False,False,156.0,49.7,BROWN,tammarawyman@outlook.com,Female,False,A+,tammara51,-0.33,Islam,Thu Apr 24 21:18:14 UTC 1986,2.3,659 Julieann Oval,Charlotte,Florida,United States,20850-9923,5324105,+1 59635471615,151.173.163.94,US,61.41732283464567,109.58850000000001,20.42,Normal,18.5 - 25,Middle income,South,21538187,"63,597"
